Time	Open	High	Low	Close	Volume
2013-12-20 01:00:00	170.676	170.858	170.635	170.715	5185
2013-12-20 02:00:00	170.715	170.825	170.614	170.771	4810
2013-12-20 03:00:00	170.771	170.929	170.724	170.869	3021
2013-12-20 04:00:00	170.869	170.95	170.83	170.897	3235
2013-12-20 05:00:00	170.896	170.914	170.77	170.839	3017
2013-12-20 06:00:00	170.843	171.056	170.625	170.703	4372
2013-12-20 07:00:00	170.703	170.743	170.5	170.609	5671
2013-12-20 08:00:00	170.609	170.799	170.519	170.718	7157
2013-12-20 09:00:00	170.714	170.939	170.634	170.734	8097
2013-12-20 10:00:00	170.734	170.745	170.513	170.647	6190
2013-12-20 11:00:00	170.647	170.775	170.534	170.638	4875
2013-12-20 12:00:00	170.634	170.869	170.559	170.804	5815
2013-12-20 13:00:00	170.804	170.902	170.619	170.694	12763
2013-12-20 14:00:00	170.699	170.844	170.622	170.706	12238
2013-12-20 15:00:00	170.706	170.809	170.209	170.219	14142
2013-12-20 16:00:00	170.219	170.324	169.983	170.209	11517
2013-12-20 17:00:00	170.205	170.248	170.014	170.16	4231
2013-12-20 18:00:00	170.174	170.209	170.101	170.163	3167
2013-12-20 19:00:00	170.159	170.159	169.934	169.944	2667
2013-12-20 20:00:00	169.944	170.054	169.843	170.054	2135
2013-12-20 21:00:00	170.054	170.086	169.77	169.959	2529
2013-12-22 22:00:00	169.874	169.944	169.848	169.913	713
2013-12-22 23:00:00	169.913	169.915	169.796	169.869	1481
2013-12-23 00:00:00	169.869	170.192	169.858	170.156	1872
2013-12-23 01:00:00	170.156	170.219	170.004	170.101	1474
2013-12-23 02:00:00	170.098	170.129	170.071	170.124	943
2013-12-23 03:00:00	170.124	170.134	170.049	170.057	1214
2013-12-23 04:00:00	170.056	170.114	170.039	170.055	973
2013-12-23 05:00:00	170.055	170.15	170.029	170.15	1357
2013-12-23 06:00:00	170.15	170.166	170.105	170.129	1057
2013-12-23 07:00:00	170.134	170.189	170.044	170.173	3044
2013-12-23 08:00:00	170.173	170.244	170.074	170.149	7080
2013-12-23 09:00:00	170.144	170.201	169.964	169.964	6398
2013-12-23 10:00:00	169.969	170.013	169.874	169.876	4701
2013-12-23 11:00:00	169.876	170.014	169.813	169.894	4770
2013-12-23 12:00:00	169.894	169.962	169.844	169.894	4819
2013-12-23 13:00:00	169.891	170.035	169.786	169.801	5717
2013-12-23 14:00:00	169.798	170.054	169.766	169.984	6938
2013-12-23 15:00:00	169.979	170.224	169.96	170.094	7845
2013-12-23 16:00:00	170.094	170.274	170.09	170.197	4613
2013-12-23 17:00:00	170.197	170.354	170.146	170.175	3112
2013-12-23 18:00:00	170.184	170.254	170.079	170.093	2773
2013-12-23 19:00:00	170.094	170.199	170.03	170.169	2828
2013-12-23 20:00:00	170.169	170.244	170.146	170.225	2075
2013-12-23 21:00:00	170.214	170.294	170.131	170.257	2287
2013-12-23 22:00:00	170.251	170.42	170.209	170.299	2076
2013-12-23 23:00:00	170.275	170.368	170.216	170.314	2462
2013-12-24 00:00:00	170.314	170.384	170.259	170.357	3286
2013-12-24 01:00:00	170.359	170.684	170.302	170.681	5295
2013-12-24 02:00:00	170.674	170.708	170.542	170.594	2164
2013-12-24 03:00:00	170.594	170.688	170.594	170.619	2750
2013-12-24 04:00:00	170.619	170.674	170.554	170.618	3409
2013-12-24 05:00:00	170.614	170.634	170.254	170.264	3607
2013-12-24 06:00:00	170.264	170.354	170.199	170.352	2226
2013-12-24 07:00:00	170.35	170.413	170.251	170.309	3307
2013-12-24 08:00:00	170.312	170.437	170.132	170.184	4776
2013-12-24 09:00:00	170.184	170.45	170.173	170.444	3693
2013-12-24 10:00:00	170.444	170.548	170.388	170.494	3060
2013-12-24 11:00:00	170.494	170.761	170.472	170.607	3113
2013-12-24 12:00:00	170.607	170.791	170.564	170.651	3849
2013-12-24 13:00:00	170.651	170.822	170.619	170.763	3424
2013-12-24 14:00:00	170.763	170.799	170.67	170.729	3667
2013-12-24 15:00:00	170.729	170.787	170.641	170.763	2976
2013-12-24 16:00:00	170.763	170.799	170.641	170.664	2300
2013-12-24 17:00:00	170.669	170.758	170.61	170.634	2083
2013-12-24 18:00:00	170.634	170.738	170.627	170.702	3142
2013-12-24 19:00:00	170.702	170.717	170.577	170.633	1450
2013-12-24 20:00:00	170.632	170.727	170.595	170.717	546
2013-12-24 21:00:00	170.718	170.864	170.615	170.615	923
2013-12-24 22:00:00	170.615	170.692	170.615	170.615	253
2013-12-24 23:00:00	170.655	170.681	170.615	170.615	116
2013-12-25 00:00:00	170.615	170.694	170.464	170.602	804
2013-12-25 01:00:00	170.613	170.705	170.576	170.684	799
2013-12-25 02:00:00	170.674	170.731	170.573	170.65	359
2013-12-25 03:00:00	170.644	170.686	170.464	170.574	468
2013-12-25 04:00:00	170.574	170.644	170.526	170.584	723
2013-12-25 05:00:00	170.589	170.669	170.564	170.644	394
2013-12-25 06:00:00	170.639	170.844	170.602	170.784	1053
2013-12-25 07:00:00	170.784	170.814	170.684	170.751	575
2013-12-25 22:00:00	170.594	170.783	170.566	170.749	769
2013-12-25 23:00:00	170.749	171.003	170.743	170.909	3472
2013-12-26 00:00:00	170.903	171.794	170.883	171.744	4180
2013-12-26 01:00:00	171.744	171.837	171.479	171.581	3395
2013-12-26 02:00:00	171.579	171.655	171.446	171.645	2322
2013-12-26 03:00:00	171.644	171.757	171.506	171.579	2320
2013-12-26 04:00:00	171.579	171.62	171.418	171.45	1864
2013-12-26 05:00:00	171.45	171.654	171.441	171.609	2266
2013-12-26 06:00:00	171.606	171.726	171.546	171.645	2634
2013-12-26 07:00:00	171.645	171.673	171.509	171.599	3057
2013-12-26 08:00:00	171.599	171.624	171.519	171.569	3092
2013-12-26 09:00:00	171.559	171.73	171.518	171.695	2206
2013-12-26 10:00:00	171.694	171.7	171.574	171.659	3886
2013-12-26 11:00:00	171.659	171.683	171.587	171.655	3380
2013-12-26 12:00:00	171.659	171.824	171.63	171.698	1853
2013-12-26 13:00:00	171.698	172.065	171.692	172.004	4291
2013-12-26 14:00:00	172.004	172.077	171.839	171.984	2730
2013-12-26 15:00:00	171.984	172.197	171.965	171.983	3319
2013-12-26 16:00:00	171.985	172.092	171.941	171.987	2900
2013-12-26 17:00:00	171.986	171.997	171.84	171.84	2388
2013-12-26 18:00:00	171.84	171.963	171.814	171.962	2254
2013-12-26 19:00:00	171.96	172.025	171.917	171.921	2283
2013-12-26 20:00:00	171.921	172.019	171.908	171.969	1301
2013-12-26 21:00:00	171.969	172.018	171.914	171.972	1278
2013-12-26 22:00:00	171.971	172.057	171.884	171.999	761
2013-12-26 23:00:00	171.999	172.225	171.968	172.196	1373
2013-12-27 00:00:00	172.2	172.491	172.094	172.368	5971
2013-12-27 01:00:00	172.368	172.398	172.145	172.304	3668
2013-12-27 02:00:00	172.304	172.413	172.24	172.246	2225
2013-12-27 03:00:00	172.246	172.399	172.241	172.346	2843
2013-12-27 04:00:00	172.346	172.37	172.156	172.244	2238
2013-12-27 05:00:00	172.241	172.395	172.212	172.38	3205
2013-12-27 06:00:00	172.381	172.524	172.264	172.47	4150
2013-12-27 07:00:00	172.467	172.633	172.386	172.492	4974
2013-12-27 08:00:00	172.492	172.819	172.466	172.713	7196
2013-12-27 09:00:00	172.714	172.914	172.69	172.828	4802
2013-12-27 10:00:00	172.832	172.924	172.792	172.858	3083
2013-12-27 11:00:00	172.858	173.944	172.855	173.499	7461
2013-12-27 12:00:00	173.496	173.599	173.323	173.569	5384
2013-12-27 13:00:00	173.569	173.591	173.232	173.361	5898
2013-12-27 14:00:00	173.361	173.566	173.336	173.444	5814
2013-12-27 15:00:00	173.444	173.488	173.067	173.141	5338
2013-12-27 16:00:00	173.141	173.266	173.074	173.231	3884
2013-12-27 17:00:00	173.231	173.321	173.15	173.233	2429
2013-12-27 18:00:00	173.23	173.479	173.21	173.34	2566
2013-12-27 19:00:00	173.34	173.34	173.05	173.065	2801
2013-12-27 20:00:00	173.055	173.253	173.032	173.229	1525
2013-12-27 21:00:00	173.234	173.374	173.168	173.313	1637
2013-12-29 22:00:00	173.347	173.786	173.324	173.684	1216
2013-12-29 23:00:00	173.688	173.739	173.498	173.54	2353
2013-12-30 00:00:00	173.528	173.724	173.449	173.603	3750
2013-12-30 01:00:00	173.618	173.757	173.57	173.638	2652
2013-12-30 02:00:00	173.638	173.66	173.49	173.551	2183
2013-12-30 03:00:00	173.551	173.559	173.405	173.428	2223
2013-12-30 04:00:00	173.432	173.519	173.424	173.509	1307
2013-12-30 05:00:00	173.506	173.544	173.396	173.506	2083
2013-12-30 06:00:00	173.506	173.639	173.49	173.614	2360
2013-12-30 07:00:00	173.614	173.842	173.599	173.754	3251
2013-12-30 08:00:00	173.759	173.852	173.627	173.674	4542
2013-12-30 09:00:00	173.677	173.699	173.469	173.594	3876
2013-12-30 10:00:00	173.594	173.619	173.319	173.354	4902
2013-12-30 11:00:00	173.354	173.384	173.108	173.204	5101
2013-12-30 12:00:00	173.209	173.404	173.122	173.34	4533
2013-12-30 13:00:00	173.34	173.424	173.154	173.339	5391
2013-12-30 14:00:00	173.339	173.504	173.32	173.45	5028
2013-12-30 15:00:00	173.452	173.612	173.347	173.572	6591
2013-12-30 16:00:00	173.57	173.66	173.424	173.464	5653
2013-12-30 17:00:00	173.464	173.536	173.425	173.514	2727
2013-12-30 18:00:00	173.514	173.609	173.487	173.544	2065
2013-12-30 19:00:00	173.544	173.656	173.529	173.614	1526
2013-12-30 20:00:00	173.612	173.63	173.4	173.424	1731
2013-12-30 21:00:00	173.428	173.499	173.374	173.479	1528
2013-12-30 22:00:00	173.479	173.544	173.034	173.279	1398
2013-12-30 23:00:00	173.279	173.361	172.95	173.018	3187
2013-12-31 00:00:00	173.017	173.119	172.969	173.119	1455
2013-12-31 01:00:00	173.119	173.134	172.967	172.979	1353
2013-12-31 02:00:00	172.979	173.014	172.835	172.839	1540
2013-12-31 03:00:00	172.839	172.889	172.83	172.859	1049
2013-12-31 04:00:00	172.859	173.041	172.829	173.036	1210
2013-12-31 05:00:00	173.036	173.139	173.019	173.119	1212
2013-12-31 06:00:00	173.119	173.127	172.953	172.994	1574
2013-12-31 07:00:00	172.996	173.509	172.959	173.498	3713
2013-12-31 08:00:00	173.492	173.744	173.491	173.717	5586
2013-12-31 09:00:00	173.717	173.884	173.594	173.665	7026
2013-12-31 10:00:00	173.662	173.697	173.23	173.234	5411
2013-12-31 11:00:00	173.234	173.547	173.229	173.447	4317
2013-12-31 12:00:00	173.45	173.689	173.447	173.464	4689
2013-12-31 13:00:00	173.464	173.686	173.414	173.414	4764
2013-12-31 14:00:00	173.419	173.624	173.419	173.544	4038
2013-12-31 15:00:00	173.554	174.119	173.469	174.045	5479
2013-12-31 16:00:00	174.045	174.512	173.894	174.413	7010
2013-12-31 17:00:00	174.41	174.419	174.309	174.35	2422
2013-12-31 18:00:00	174.356	174.428	174.259	174.339	2659
2013-12-31 19:00:00	174.339	174.45	174.241	174.389	2688
2013-12-31 20:00:00	174.389	174.529	174.307	174.347	2510
2013-12-31 21:00:00	174.343	174.564	174.26	174.26	2633
2014-01-01 22:00:00	174.329	174.674	174.289	174.674	1029
2014-01-01 23:00:00	174.654	174.834	174.551	174.587	1622
2014-01-02 00:00:00	174.587	174.619	174.42	174.599	3832
2014-01-02 01:00:00	174.599	174.668	174.508	174.644	3218
2014-01-02 02:00:00	174.644	174.655	174.491	174.501	2952
2014-01-02 03:00:00	174.501	174.649	174.499	174.623	2465
2014-01-02 04:00:00	174.622	174.663	174.57	174.654	3141
2014-01-02 05:00:00	174.659	174.834	174.631	174.81	2134
2014-01-02 06:00:00	174.81	174.814	174.674	174.749	5276
2014-01-02 07:00:00	174.748	174.756	174.527	174.647	7494
2014-01-02 08:00:00	174.647	174.669	174.43	174.609	7804
2014-01-02 09:00:00	174.614	174.719	174.304	174.309	9162
2014-01-02 10:00:00	174.312	174.481	174.244	174.443	6835
2014-01-02 11:00:00	174.443	174.489	174.154	174.172	7243
2014-01-02 12:00:00	174.174	174.189	173.577	173.629	9546
2014-01-02 13:00:00	173.624	173.658	173.197	173.244	10786
2014-01-02 14:00:00	173.244	173.264	172.214	172.254	13142
2014-01-02 15:00:00	172.269	172.644	172.052	172.612	15033
2014-01-02 16:00:00	172.611	172.726	172.274	172.345	9004
2014-01-02 17:00:00	172.347	172.431	172.179	172.394	5566
2014-01-02 18:00:00	172.394	172.397	171.976	172.024	5394
