Time	Open	High	Low	Close	Volume
2013-12-20 02:00:00	97.769	97.85	97.724	97.823	2626
2013-12-20 03:00:00	97.818	97.913	97.806	97.831	1690
2013-12-20 04:00:00	97.831	97.918	97.823	97.918	2109
2013-12-20 05:00:00	97.913	97.958	97.838	97.88	1941
2013-12-20 06:00:00	97.882	97.999	97.789	97.85	3198
2013-12-20 07:00:00	97.853	97.881	97.728	97.753	3571
2013-12-20 08:00:00	97.755	97.878	97.748	97.853	2927
2013-12-20 09:00:00	97.851	97.903	97.794	97.845	2790
2013-12-20 10:00:00	97.845	97.934	97.832	97.832	2590
2013-12-20 11:00:00	97.835	97.953	97.801	97.931	3231
2013-12-20 12:00:00	97.933	97.953	97.769	97.873	3310
2013-12-20 13:00:00	97.868	97.878	97.364	97.643	8657
2013-12-20 14:00:00	97.643	97.68	97.439	97.445	6372
2013-12-20 15:00:00	97.445	97.495	97.194	97.455	9946
2013-12-20 16:00:00	97.458	97.513	97.261	97.437	7907
2013-12-20 17:00:00	97.436	97.618	97.408	97.541	3580
2013-12-20 18:00:00	97.544	97.563	97.475	97.516	2344
2013-12-20 19:00:00	97.513	97.603	97.499	97.585	2090
2013-12-20 20:00:00	97.585	97.718	97.578	97.718	2221
2013-12-20 21:00:00	97.713	97.913	97.69	97.784	1947
2013-12-22 22:00:00	97.703	97.768	97.703	97.74	304
2013-12-22 23:00:00	97.748	97.763	97.719	97.738	820
2013-12-23 00:00:00	97.733	97.81	97.703	97.778	1162
2013-12-23 01:00:00	97.775	97.786	97.712	97.748	862
2013-12-23 02:00:00	97.747	97.788	97.742	97.788	828
2013-12-23 03:00:00	97.784	97.788	97.743	97.745	599
2013-12-23 04:00:00	97.751	97.803	97.725	97.793	744
2013-12-23 05:00:00	97.791	97.82	97.767	97.798	1128
2013-12-23 06:00:00	97.798	97.823	97.785	97.808	688
2013-12-23 07:00:00	97.808	97.816	97.673	97.735	1741
2013-12-23 08:00:00	97.735	97.735	97.583	97.706	2741
2013-12-23 09:00:00	97.708	97.804	97.669	97.778	3008
2013-12-23 10:00:00	97.778	97.865	97.76	97.835	1779
2013-12-23 11:00:00	97.835	97.92	97.823	97.908	1723
2013-12-23 12:00:00	97.908	98.03	97.907	98.003	3571
2013-12-23 13:00:00	98.002	98.108	97.94	97.994	4118
2013-12-23 14:00:00	98	98.235	97.987	98.224	4104
2013-12-23 15:00:00	98.224	98.328	98.133	98.144	4670
2013-12-23 16:00:00	98.143	98.196	98.101	98.143	3343
2013-12-23 17:00:00	98.142	98.161	97.978	98.001	2015
2013-12-23 18:00:00	98.008	98.109	97.992	98.079	1614
2013-12-23 19:00:00	98.079	98.145	98.068	98.135	1564
2013-12-23 20:00:00	98.138	98.153	98.058	98.068	1675
2013-12-23 21:00:00	98.056	98.163	98.008	98.132	1521
2013-12-23 22:00:00	98.123	98.158	98.043	98.14	1127
2013-12-23 23:00:00	98.14	98.158	98.075	98.124	1690
2013-12-24 00:00:00	98.122	98.188	98.094	98.158	2720
2013-12-24 01:00:00	98.153	98.313	98.142	98.258	3364
2013-12-24 02:00:00	98.258	98.258	98.157	98.157	1101
2013-12-24 03:00:00	98.157	98.185	98.121	98.158	1379
2013-12-24 04:00:00	98.158	98.251	98.148	98.243	1977
2013-12-24 05:00:00	98.243	98.25	98.103	98.128	2529
2013-12-24 06:00:00	98.128	98.16	98.097	98.128	1389
2013-12-24 07:00:00	98.128	98.128	98.008	98.039	2118
2013-12-24 08:00:00	98.039	98.113	98.018	98.108	2116
2013-12-24 09:00:00	98.103	98.233	98.088	98.089	1896
2013-12-24 10:00:00	98.093	98.233	98.09	98.223	1565
2013-12-24 11:00:00	98.223	98.266	98.202	98.254	1226
2013-12-24 12:00:00	98.258	98.268	98.192	98.214	1436
2013-12-24 13:00:00	98.212	98.323	98.198	98.205	2203
2013-12-24 14:00:00	98.208	98.255	98.108	98.113	2179
2013-12-24 15:00:00	98.118	98.363	98.08	98.155	2847
2013-12-24 16:00:00	98.158	98.233	98.143	98.183	1763
2013-12-24 17:00:00	98.183	98.248	98.126	98.192	1615
2013-12-24 18:00:00	98.194	98.251	98.143	98.169	1391
2013-12-24 19:00:00	98.169	98.204	98.112	98.122	1341
2013-12-24 20:00:00	98.122	98.122	98.017	98.035	488
2013-12-24 21:00:00	98.037	98.111	97.933	97.993	846
2013-12-24 22:00:00	97.968	98.113	97.949	98.087	338
2013-12-24 23:00:00	98.087	98.147	98.038	98.067	415
2013-12-25 00:00:00	98.068	98.468	98.055	98.198	737
2013-12-25 01:00:00	98.2	98.293	98.088	98.178	587
2013-12-25 02:00:00	98.185	98.218	98.142	98.163	413
2013-12-25 03:00:00	98.168	98.183	98.136	98.173	316
2013-12-25 04:00:00	98.159	98.243	98.143	98.211	430
2013-12-25 05:00:00	98.211	98.239	98.147	98.198	549
2013-12-25 06:00:00	98.193	98.303	98.176	98.261	751
2013-12-25 07:00:00	98.263	98.298	98.22	98.258	463
2013-12-25 21:00:00	98.119	98.119	98.119	98.119	2
2013-12-25 22:00:00	98.112	98.218	98.084	98.176	784
2013-12-25 23:00:00	98.176	98.317	98.168	98.186	1288
2013-12-26 00:00:00	98.185	98.5	98.18	98.428	3718
2013-12-26 01:00:00	98.428	98.478	98.327	98.413	3905
2013-12-26 02:00:00	98.408	98.458	98.352	98.407	2704
2013-12-26 03:00:00	98.407	98.427	98.314	98.379	2870
2013-12-26 04:00:00	98.381	98.415	98.359	98.398	1547
2013-12-26 05:00:00	98.398	98.455	98.373	98.432	3489
2013-12-26 06:00:00	98.431	98.533	98.404	98.468	3818
2013-12-26 07:00:00	98.469	98.493	98.423	98.456	4658
2013-12-26 08:00:00	98.454	98.495	98.389	98.414	4859
2013-12-26 09:00:00	98.415	98.522	98.392	98.486	3966
2013-12-26 10:00:00	98.485	98.525	98.404	98.489	4402
2013-12-26 11:00:00	98.474	98.591	98.437	98.586	3081
2013-12-26 12:00:00	98.586	98.589	98.529	98.573	1835
2013-12-26 13:00:00	98.573	98.685	98.558	98.652	2855
2013-12-26 14:00:00	98.65	98.686	98.554	98.603	1943
2013-12-26 15:00:00	98.601	98.63	98.383	98.383	2534
2013-12-26 16:00:00	98.387	98.437	98.318	98.328	1934
2013-12-26 17:00:00	98.333	98.351	98.297	98.348	951
2013-12-26 18:00:00	98.35	98.43	98.338	98.427	1005
2013-12-26 19:00:00	98.424	98.458	98.373	98.373	1159
2013-12-26 20:00:00	98.373	98.426	98.371	98.398	1032
2013-12-26 21:00:00	98.4	98.427	98.38	98.392	1227
2013-12-26 22:00:00	98.391	98.443	98.34	98.408	712
2013-12-26 23:00:00	98.404	98.508	98.404	98.487	2538
2013-12-27 00:00:00	98.489	98.632	98.44	98.558	4859
2013-12-27 01:00:00	98.564	98.58	98.441	98.508	4574
2013-12-27 02:00:00	98.508	98.559	98.473	98.497	3030
2013-12-27 03:00:00	98.495	98.613	98.495	98.52	2878
2013-12-27 04:00:00	98.519	98.554	98.458	98.498	2449
2013-12-27 05:00:00	98.495	98.568	98.478	98.537	3328
2013-12-27 06:00:00	98.537	98.567	98.448	98.547	3702
2013-12-27 07:00:00	98.548	98.603	98.473	98.564	3994
2013-12-27 08:00:00	98.563	98.578	98.468	98.555	4283
2013-12-27 09:00:00	98.557	98.568	98.471	98.473	3498
2013-12-27 10:00:00	98.473	98.478	98.372	98.385	2786
2013-12-27 11:00:00	98.383	98.52	98.252	98.473	7101
2013-12-27 12:00:00	98.473	98.545	98.37	98.504	4902
2013-12-27 13:00:00	98.504	98.504	98.296	98.384	5312
2013-12-27 14:00:00	98.385	98.453	98.342	98.344	5072
2013-12-27 15:00:00	98.343	98.357	98.013	98.15	7442
2013-12-27 16:00:00	98.153	98.223	98.088	98.18	5451
2013-12-27 17:00:00	98.183	98.283	98.12	98.255	3212
2013-12-27 18:00:00	98.253	98.34	98.202	98.219	3883
2013-12-27 19:00:00	98.22	98.22	98.113	98.132	3144
2013-12-27 20:00:00	98.137	98.235	98.088	98.229	2166
2013-12-27 21:00:00	98.228	98.234	98.121	98.158	1232
2013-12-29 22:00:00	98.235	98.374	98.183	98.331	1257
2013-12-29 23:00:00	98.33	98.381	98.304	98.328	2358
2013-12-30 00:00:00	98.323	98.378	98.293	98.339	4348
2013-12-30 01:00:00	98.339	98.398	98.218	98.245	3223
2013-12-30 02:00:00	98.244	98.317	98.204	98.317	2127
2013-12-30 03:00:00	98.313	98.313	98.25	98.288	2485
